HIDROREY INDUSTRIAL,,,,,,,,,,,,,,,,,,,
Fecha:,,15/12/2025,,,,Catálogo de Productos,,,,,,,,,,Página:,,1,
Hora:,,14:23:05,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Clase,,,Clave,Nombre,Atributo,,Unidad,Grupo,,Subgrupo,Ma. Lo.,D. Vi.,,Tipo de Producto,,,,,Clave SAT
POTENCIA,,,00518ET3EM184TCW,MOTOR 5HP WEG 3F 220V 1750 RPM 184TC,,,PIEZA,MOTORES,,ELECTRICO,,,,MOTORES,,,,26101115,
,"TRIFASICO 220V/440V BRIDA 184TC FLECHA 1-1/8""
12903720",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
POTENCIA,,,00518ET3EM184TW,MOTOR 5HP 1750 RPM BAJA 220/440V STD,,,PIEZA,MOTORES,,ELECTRICO,,,,MOTORES,,,,26101100,
,"Carcasa 182/4T
Potencia 5 HP (3.7 kW)
Numero de polos 4
Frecuencia 60 Hz
Rotación nominal 1755 rpm",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
POTENCIA,,,0051BES1E184T,MOTOR STD 1F 4P 5HP 230V 450 V,,,PIEZA,MOTORES,,ELECTRICO,,,,X_OBSOLETOS,,,,,
,,,,,,,,,,,,,,,,,,,
OBS,,,005287,BOQUILLA QC 1/4  SOAP 65° NEGRA #40,,,PIEZA,,,,,,,X_OBSOLETOS,,,,,
,,,,,,,,,,,,,,,,,,,
POTENCIA,,,00536EP3E184TC,MOTOR TRIFASICO  DE 5HP 3500 RPM,,,PIEZA,MOTORES,,ELECTRICO,,,,X_OBSOLETOS,,,,,
,208-230/460 VOLTS ARMAZON 184TC,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
OBS,,,005422,BOQUILLA  PARA JABON  ENCHUFE RAPIDO,,,PIEZA,,,,Lote/Serie/Pedim,,,X_OBSOLETOS,,,,,
,"BOQUILLA  PARA JABON  ENCHUFE RAPIDO  
#5422 SOAPER NOZZLE, QC, 25-40",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
OBS,,,005623,JGO. BOQUILLAS CONEX RAP 5PZAS #3.0,,,JUEGO,,,,Lote/Serie/Pedim,,,X_OBSOLETOS,,,,,
,PAQUETE KIT BOQUILLAS CONEXION RAPIDA PAQUETE CON 5 BOQUILLAS #3.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
OBS,,,005721,JGO. BOQUILLAS CONEX RAP 5PZAS #3.5,,,JUEGO,,,,Lote/Serie/Pedim,,,X_OBSOLETOS,,,,,
